PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PCN_CODE,PCN_NAME,ONS_SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ONS_ICB_CODE,ICB_CODE,ICB_NAME,ONS_COMM_REGION_CODE,COMM_REGION_CODE,COMM_REGION_NAME,SUPPLIER_NAME
GP_PRAC_PAT_LIST,01Mar2026,G83039,ST MARKS PMS,SE18 3EP,U11690,RIVERVIEW HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83044,FAIRFIELD PMS,SE7 8TX,U00254,BLACKHEATH AND CHARLTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83046,BURSTED WOOD SURGERY,DA7 6HZ,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83049,LYNDHURST ROAD MEDICAL CENTRE,DA7 6DL,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83052,BELVEDERE MEDICAL CENTRE,DA17 5LQ,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83053,BEXLEY MEDICAL GROUP,DA7 5RB,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83057,WOODLANDS SURGERY,DA15 8DF,U50197,FROGNAL PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83058,PRIMECARE PMS (SOUTH STREET),SE10 8NT,U39263,ELTHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83060,GLYNDON PMS,SE18 7LU,U93499,UNITY (GREENWICH) PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83062,SLADE GREEN MEDICAL CTR.,DA8 2HS,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83065,BURNEY STREET PMS,SE10 8EX,U46593,GREENWICH WEST PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83066,SIDCUP MEDICAL CENTRE,DA14 6BU,U50197,FROGNAL PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83067,VALENTINE HEALTH PARTNERSHIP,SE18 6PZ,U94126,VALENTINE HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83628,NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,SE9 3PT,U39263,ELTHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83630,RIVERSIDE SURGERY,DA8 1RQ,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83631,ABBEYSLADE PMS (DR CHAND),SE2 0ER,U24992,HERITAGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83633,CONWAY PMS,SE18 1AH,U11690,RIVERVIEW HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83635,WAVERLEY PMS,SE18 7QU,U24992,HERITAGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
