MSOA21CD,practice_count,DEMENTIA_REGISTER_65_PLUS,DEMENTIA_REGISTER_0_64,total_dementia,total_registered,area_km2,density_65plus,density_0_64,density_total
E02000066,1,110.0,3.0,113.0,19157.0,1.6972390364359655,64.81114188310748,1.7675765968120223,66.57871847991952
E02000067,1,90.0,3.0,93.0,17823.0,2.2659762521904776,39.717980236111764,1.3239326745370588,41.041912910648826
E02000068,1,42.0,3.0,45.0,12441.0,2.3328187593685326,18.003970446194852,1.285997889013918,19.28996833520877
E02000069,1,144.0,1.0,145.0,14500.0,1.522983547961869,94.55125118896251,0.6566059110344619,95.20785709999697
E02000072,1,24.0,6.0,30.0,11592.0,4.524479985585409,5.304476995469505,1.3261192488673763,6.630596244336881
E02000073,1,139.0,3.0,142.0,21339.0,1.6994707441681456,81.79016936713289,1.765255453966897,83.55542482109979
E02000075,2,77.0,2.0,79.0,11889.0,1.4142760387265758,54.444816918012236,1.4141510887795385,55.85896800679177
E02000077,1,58.0,1.0,59.0,14740.0,1.0790396963586486,53.75149792517188,0.9267499642271014,54.67824788939898
E02000079,1,123.0,3.0,126.0,16040.0,1.7156073658476365,71.69472598949173,1.7486518534022375,73.44337784289397
E02000080,2,257.0,4.0,261.0,20808.0,1.627010326610806,157.9584319758755,2.458496995733471,160.41692897160897
E02000081,1,180.0,5.0,185.0,12750.0,2.1282340373368314,84.57716437297623,2.349365677027117,86.92653005000334
E02000083,1,22.0,1.0,23.0,10314.0,3.701423591761695,5.943659096182798,0.27016632255376355,6.213825418736561
E02000085,1,18.0,0.0,18.0,4886.0,1.5352673192343191,11.72434257831861,0.0,11.72434257831861
E02000087,1,61.0,3.0,64.0,7353.0,3.758353237230663,16.230512713846917,0.7982219367465697,17.02873465059349
E02000089,1,85.0,2.0,87.0,11503.0,1.4395427423813547,59.046527412856996,1.3893300567731057,60.4358574696301
E02000090,1,97.0,2.0,99.0,13364.0,1.7441810598527383,55.613492333295795,1.1466699450164082,56.76016227831221
E02000091,1,513.0,5.0,518.0,30669.0,2.7008839890890277,189.93781372039902,1.8512457477621738,191.7890594681612
E02000128,1,207.0,4.0,211.0,23601.0,2.5273423253396383,81.90421927594718,1.5826902275545351,83.48690950350172
E02000132,1,820.0,10.0,830.0,1460.0,1.7474361771854532,469.25891240317065,5.722669663453301,474.98158206662396
E02000138,2,109.0,4.0,113.0,13872.0,2.1396284703736237,50.94342382767338,1.8694834432173717,52.81290727089075
E02000146,2,140.0,8.0,148.0,19764.0,1.8579153081804023,75.35327330776592,4.305901331872338,79.65917463963825
E02000151,2,66.0,1.0,67.0,12727.0,1.9683208498026268,33.53111867235372,0.50804725261142,34.03916592496514
E02000153,2,109.0,3.0,112.0,15540.0,2.218766082882041,49.1264044646003,1.3521028751724853,50.47850733977278
E02000154,2,195.0,3.0,198.0,25040.0,2.1558232123930026,90.45268595264196,1.3915797838867994,91.84426573652875
E02000156,2,136.0,4.0,140.0,15997.0,3.8635024216449567,35.20122033263681,1.0353300097834355,36.236550342420244
E02000160,1,57.0,0.0,57.0,8748.0,8.457728175894838,6.739398431183245,0.0,6.739398431183245
E02000162,2,124.0,3.0,127.0,13068.0,13.084657597408844,9.47674779235765,0.2292761562667173,9.706023948624367
E02000163,3,187.0,2.0,189.0,20460.0,11.38070207355285,16.431323726025802,0.175736082631292,16.607059808657095
E02000165,2,147.0,4.0,151.0,13290.0,5.83989404823475,25.17168955221616,0.6849439333936371,25.856633485609798
E02000194,1,38.0,3.0,41.0,14761.0,1.451296803603311,26.18347942726311,2.067116796889193,28.2505962241523
E02000197,2,161.0,5.0,166.0,19068.0,0.8980761871923295,179.27209550376452,5.5674563821044885,184.839551885869
E02000198,2,122.0,4.0,126.0,19365.0,0.9965501717841401,122.42233602908462,4.013847082920807,126.43618311200542
E02000200,2,149.0,5.0,154.0,14260.0,1.3000723535747698,114.60900586824971,3.845939794236567,118.45494566248628
E02000202,1,113.0,3.0,116.0,13291.0,0.8000657760876692,141.2383873643131,3.749691699937516,144.9880790642506
E02000203,2,95.0,8.0,103.0,17325.0,0.7533969698828469,126.09554298416211,10.618572040771545,136.71411502493365
E02000204,1,63.0,3.0,66.0,9318.0,1.149133490308874,54.823917787885826,2.610662751804087,57.43458053968992
E02000206,1,25.0,1.0,26.0,6049.0,1.397722582456429,17.88623888158387,0.7154495552633549,18.601688436847226
E02000207,4,203.0,9.0,212.0,32621.0,1.1878018019648717,170.90393335335548,7.577021675764529,178.48095502912003
E02000208,3,151.0,10.0,161.0,23927.0,0.8248655386464357,183.0601388049059,12.123188000324895,195.1833268052308
E02000209,1,34.0,2.0,36.0,20334.0,0.9719429251426551,34.98147794533276,2.05773399678428,37.03921194211704
E02000210,1,14.0,0.0,14.0,4083.0,0.7745962947503671,18.07393102043155,0.0,18.07393102043155
E02000213,3,93.0,14.0,107.0,27723.0,1.190408937311097,78.12441345582381,11.760664391199283,89.8850778470231
E02000215,3,219.0,8.0,227.0,40451.0,0.9926726190589599,220.6165414410332,8.0590517421382,228.67559318317143
E02000218,1,55.0,1.0,56.0,3255.0,1.0661548996515844,51.58725061243334,0.9379500111351516,52.52520062356849
E02000219,2,112.0,0.0,112.0,12328.0,5.90922506308719,18.953415854749522,0.0,18.953415854749522
E02000221,1,94.0,3.0,97.0,10556.0,2.7878828403641402,33.71734229251978,1.076085392314461,34.79342768483424
E02000222,1,29.0,0.0,29.0,3639.0,1.9655826063890067,14.753895311108911,0.0,14.753895311108911
E02000224,1,92.0,7.0,99.0,13702.0,1.2274381162248311,74.95286221268711,5.702935168356628,80.65579738104374
E02000225,3,138.0,12.0,150.0,24496.0,1.7213225020142382,80.17091500199217,6.9713839132167115,87.14229891520888
E02000226,3,332.0,14.0,346.0,36349.0,3.2778747299589104,101.28513971739298,4.271060108564764,105.55619982595773
E02000230,2,517.0,25.0,542.0,42455.0,2.72303337086792,189.86179366403255,9.180937798067337,199.04273146209988
E02000231,1,22.0,0.0,22.0,2859.0,3.3184273169792715,6.629646485681164,0.0,6.629646485681164
E02000237,1,133.0,3.0,136.0,19398.0,5.115043371177033,26.001734559954492,0.5865052908260412,26.588239850780536
