PRACTICE_NAME,PRACTICE_POSTCODE,latitude,longitude,MSOA21CD,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,PAT_LIST_0_64,PAT_LIST_65_PLUS,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE
CRAYFORD TOWN SURGERY,DA1 4ER,51.450116,0.181223,E02000083,1.0,22.0,9253.0,1061.0,U67110,NORTH BEXLEY PCN,72Q
PLUMSTEAD AND WICKHAM LANE SURGERY,SE18 1SE,51.487514,0.092621,E02000318,1.0,25.0,7579.0,833.0,U24992,HERITAGE PCN,72Q
WOODLANDS SURGERY,SE10 9UB,51.484798,0.004634,E02006930,0.0,22.0,5626.0,695.0,U46593,GREENWICH WEST PCN,72Q
BANNOCKBURN SURGERY,SE18 1ES,51.488171,0.094581,E02000318,0.0,8.0,5156.0,525.0,U24992,HERITAGE PCN,72Q
ELMSTEAD MEDICAL CLINIC,SE9 3JD,51.432081,0.059139,E02000344,1.0,18.0,6228.0,707.0,U39263,ELTHAM PCN,72Q
ELTHAM MEDICAL PRACTICE,SE9 5DQ,51.449946,0.05374,E02000340,0.0,146.0,21684.0,4352.0,U39263,ELTHAM PCN,72Q
LINKS MEDICAL PRACTICE,BR1 4PX,51.419793,0.014834,E02006782,7.0,51.0,10219.0,1676.0,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q
STOCK HILL SURGERY,TN16 3TJ,51.31207,0.031838,E02000165,3.0,120.0,6797.0,2689.0,U77447,FIVE ELMS PCN,72Q
SUMMERCROFT SURGERY,BR6 7AR,51.365357,0.063084,E02000162,3.0,101.0,7128.0,2495.0,U77447,FIVE ELMS PCN,72Q
MANOR ROAD SURGERY,BR3 5LE,51.407168,-0.022718,E02000138,0.0,27.0,5138.0,1176.0,U36188,BECKENHAM PCN,72Q
FAMILY SURGERY,BR6 6BG,51.354367,0.090023,E02000163,1.0,47.0,3306.0,1003.0,U87524,ORPINGTON PCN,72Q
THE CHISLEHURST PARTNERSHIP,BR7 5AQ,51.419678,0.066938,E02000128,4.0,207.0,18832.0,4769.0,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q
EDEN PARK SURGERY,BR3 4DQ,51.399334,-0.0414,E02006787,4.0,50.0,6793.0,1510.0,U36188,BECKENHAM PCN,72Q
STATION ROAD SURGERY,BR4 0PU,51.377081,-0.01486,E02000156,2.0,86.0,7785.0,2775.0,U98580,HAYES WICK PCN,72Q
ADDINGTON ROAD SURGERY,BR4 9BG,51.369081,-0.003942,E02000160,0.0,57.0,6653.0,2095.0,U98580,HAYES WICK PCN,72Q
CORNERWAYS SURGERY,BR3 5LG,51.407045,-0.020236,E02000138,4.0,82.0,5660.0,1898.0,U36188,BECKENHAM PCN,72Q
CHELSFIELD SURGERY,BR6 6HD,51.355726,0.104017,E02000163,1.0,74.0,7037.0,2086.0,U87524,ORPINGTON PCN,72Q
SOUTHBOROUGH LANE SURGERY,BR2 9GT,51.387262,0.037968,E02000146,2.0,86.0,8002.0,1989.0,U77447,FIVE ELMS PCN,72Q
BROMLEY COMMON PRACTICE,BR2 9GT,51.387262,0.037968,E02000146,6.0,54.0,8362.0,1411.0,U77447,FIVE ELMS PCN,72Q
ELM HOUSE SURGERY,BR3 3FD,51.404872,-0.032695,E02006787,5.0,199.0,28525.0,4465.0,U36188,BECKENHAM PCN,72Q
ST JAMES' PRACTICE,BR3 4DG,51.399237,-0.043647,E02006787,6.0,73.0,5783.0,1342.0,U36188,BECKENHAM PCN,72Q
FORGE CLOSE SURGERY,BR2 7LL,51.377138,0.016582,E02000153,1.0,42.0,5466.0,1381.0,U98580,HAYES WICK PCN,72Q
KNOLL MEDICAL PRACTICE,BR6 0FE,51.37541,0.101067,E02000154,2.0,134.0,11418.0,2970.0,U87524,ORPINGTON PCN,72Q
PICKHURST SURGERY,BR2 7JF,51.378033,0.010543,E02000153,2.0,67.0,7066.0,1627.0,U98580,HAYES WICK PCN,72Q
TUDOR WAY SURGERY,BR5 1LH,51.388791,0.078424,E02000151,1.0,42.0,7052.0,1553.0,U87524,ORPINGTON PCN,72Q
NORHEADS LANE SURGERY,TN16 3XS,51.314542,0.026767,E02000165,1.0,27.0,3141.0,663.0,U77447,FIVE ELMS PCN,72Q
BALLATER SURGERY,BR6 0DP,51.3822,0.095026,E02000154,1.0,61.0,8947.0,1705.0,U87524,ORPINGTON PCN,72Q
WICKHAM PARK SURGERY,BR4 9PS,51.376153,-0.023292,E02000156,2.0,50.0,4276.0,1161.0,U98580,HAYES WICK PCN,72Q
BANK HOUSE SURGERY,BR6 7BA,51.359059,0.069869,E02000162,0.0,23.0,2622.0,823.0,U87524,ORPINGTON PCN,72Q
WHITEHOUSE SURGERY,BR5 1EL,51.384132,0.077451,E02000151,0.0,24.0,3459.0,663.0,U87524,ORPINGTON PCN,72Q
GREEN STREET GREEN MED CT,BR6 6BG,51.354367,0.090023,E02000163,0.0,66.0,5285.0,1743.0,U87524,ORPINGTON PCN,72Q
FOREST HILL GROUP PRACTICE,SE22 0SQ,51.453617,-0.061517,E02000838,1.0,56.0,8621.0,1633.0,U60094,SOUTH SOUTHWARK PCN,72Q
STREATHAM HIGH PRACTICE,SW16 2ST,51.432463,-0.126577,E02000646,2.0,24.0,22666.0,1125.0,U18315,AT MEDICS STREATHAM PCN,72Q
THE ACORN & GAUMONT HOUSE SURGERY,SE15 5SL,51.474157,-0.06645,E02000828,2.0,28.0,7848.0,1065.0,U60094,SOUTH SOUTHWARK PCN,72Q
CLAPHAM FAMILY PRACTICE,SW4 7DB,51.463167,-0.133498,E02000632,2.0,45.0,18065.0,1364.0,U45098,CLAPHAM PCN,72Q
CAMBERWELL GREEN SURGERY,SE5 7AF,51.474618,-0.093445,E02000827,2.0,27.0,7947.0,1145.0,U60094,SOUTH SOUTHWARK PCN,72Q
STREATHAM COMMON PRACTICE,SW16 3NP,51.418615,-0.12664,E02000651,3.0,68.0,10652.0,1518.0,U99355,STREATHAM PCN,72Q
THE QRP SURGERY,SE14 5HD,51.474264,-0.047409,E02000658,2.0,46.0,7576.0,1211.0,U53896,NORTH LEWISHAM PCN,72Q
HERNE HILL GROUP PRACTICE,SE24 9QP,51.45582,-0.09882,E02000631,3.0,55.0,12963.0,1819.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
TRAFALGAR SURGERY,SE15 6NR,51.485673,-0.074389,E02000821,0.0,6.0,2607.0,203.0,U06180,NORTH SOUTHWARK PCN,72Q
KINGFISHER MEDICAL CENTRE,SE8 5DA,51.481877,-0.030477,E02000654,1.0,18.0,14719.0,1053.0,U53896,NORTH LEWISHAM PCN,72Q
PRENTIS MEDICAL CENTRE,SW16 1XU,51.430487,-0.130111,E02000646,11.0,41.0,4125.0,681.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
NORTH WOOD GROUP PRACTICE,SE19 3NY,51.422729,-0.098467,E02000648,5.0,104.0,13649.0,2150.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
LEWISHAM MEDICAL CENTRE,SE13 5PJ,51.458515,0.004418,E02000665,3.0,44.0,12827.0,1147.0,U21222,LEWISHAM ALLIANCE PCN,72Q
SYDENHAM GREEN GROUP PRACTICE,SE26 4TH,51.42918,-0.039189,E02000681,1.0,57.0,12279.0,2166.0,U23546,APLOS HEALTH PCN,72Q
BRIXTON HILL GROUP PRACTICE,SW2 1AE,51.452316,-0.120195,E02000637,0.0,34.0,11915.0,925.0,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q
CLIFTON RISE FAMILY PRACTICE,SE8 4BG,51.476335,-0.031407,E02006798,1.0,32.0,3634.0,673.0,U53896,NORTH LEWISHAM PCN,72Q
STOCKWELL GROUP PRACTICE,SW9 9TJ,51.468037,-0.117533,E02000628,3.0,71.0,10912.0,1653.0,U65434,STOCKWELLBEING PCN,72Q
FALMOUTH ROAD GROUP PRACTICE,SE1 4JW,51.496719,-0.093272,E02000815,0.0,25.0,16045.0,898.0,U06180,NORTH SOUTHWARK PCN,72Q
PARKSIDE MEDICAL CENTRE,SE5 7AQ,51.475827,-0.092617,E02000826,1.0,20.0,5354.0,647.0,U60094,SOUTH SOUTHWARK PCN,72Q
DMC CHADWICK ROAD,SE15 4PU,51.467864,-0.074232,E02000831,1.0,22.0,6081.0,750.0,U60094,SOUTH SOUTHWARK PCN,72Q
TORRIDON ROAD MEDICAL PRACTICE,SE6 1RB,51.44011,-0.002086,E02000674,4.0,50.0,9983.0,1705.0,U58020,SEVENFIELDS PCN,72Q
NEXUS HEALTH GROUP,SE1 6JP,51.495618,-0.101933,E02006802,12.0,230.0,67595.0,7744.0,U06180,NORTH SOUTHWARK PCN,72Q
THE LEWISHAM CARE PARTNERSHIP,SE13 7SX,51.467393,-0.022175,E02000663,8.0,222.0,46134.0,5794.0,U11059,LEWISHAM CARE PARTNERSHIP PCN,72Q
PAXTON GREEN GROUP PRACTICE,SE21 8AU,51.430297,-0.086069,E02000839,7.0,71.0,16888.0,2514.0,U60524,CROXTED PCN,72Q
