practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G85685,G85685,THE NUNHEAD SURGERY,SE15 3LY,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.464052,-0.0582332
G85690,G85690,HERNE HILL ROAD MEDICAL PRACTICE,SE24 0AU,U41041,FIVEWAYS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4654044,-0.1003204
G85695,G85695,AKERMAN MEDICAL PRACTICE,SW9 6AF,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.475724,-0.1051357
G85696,G85696,VALE MEDICAL CENTRE,SE23 2JF,U23546,APLOS HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4354396,-0.0443932
G85698,G85698,AMERSHAM VALE TRAINING PRACTICE,SE14 6LD,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4767181,-0.0317383
G85706,G85706,THE OLD DAIRY HEALTH CENTRE,SE21 8SZ,U60524,CROXTED PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4367147,-0.0909317
G85708,G85708,DR CURRAN & PARTNERS,SW4 6EB,U45098,CLAPHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.46515,-0.13603
G85711,G85711,DEPTFORD SURGERY,SE14 6TJ,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4748984,-0.0270447
G85715,G85715,THE LISTER PRACTICE,SE15 5LJ,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47444,-0.07525
G85716,G85716,OAKVIEW FAMILY PRACTICE,BR1 5NJ,U58020,SEVENFIELDS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4297818,0.0072352
G85721,G85721,EAST STREET,SE17 2GN,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4877397,-0.0860229
G85722,G85722,WOODLANDS HEALTH CENTRE,SE13 6RN,U21222,LEWISHAM ALLIANCE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4499562,-0.0053038
G85724,G85724,EDITH CAVELL PRACTICE,SW2 4TP,U18315,AT MEDICS STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4412515,-0.1245202
G85726,G85726,BRUNSWICK PARK FAMILY PRACTICE,SE5 7RF,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4745623,-0.0841188
G85727,G85727,NIGHTINGALE SURGERY,SE12 8NP,U21222,LEWISHAM ALLIANCE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4530232,0.0088712
G85736,G85736,DEPTFORD MEDICAL CENTRE,SE14 6TG,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47453,-0.02709
Y00020,Y00020,THE GRANTHAM PRACTICE,SW9 9BH,U65434,STOCKWELLBEING PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47043,-0.12408
Y02974,Y02974,AT MEDICS,SE28 0NY,U11690,RIVERVIEW HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4987883,0.089935
Y03063,Y03063,HETHERINGTON AT THE PAVILION,SW9 8DJ,U36779,BRIXTON AND CLAPHAM PARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4617329,-0.1163222
Y03755,Y03755,GREENWICH PENINSULA,SE10 0QN,U46593,GREENWICH WEST PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49326,0.01204
Y06113,Y06113,QHS GP CARE HOME SERVICE,SE16 4BL,U06180,NORTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.49695,-0.06949
Y06345,Y06345,BROMLEAG CARE PRACTICE,BR3 1DU,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4096374,-0.0265951
Y06545,Y06545,SEL SPECIAL ALLOCATION PRACTICE,SE23 1RJ,U58020,SEVENFIELDS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4429299,-0.0408699
Y07020,Y07020,ONE CARE LAMBETH,SE23 1RJ,U39721,"HILLS, BROOKS & DALES GROUP PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4429299,-0.0408699
Y08411,Y08411,ONE CARE LEWISHAM,SE23 1RJ,U53896,NORTH LEWISHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4429299,-0.0408699
H83001,H83001,PORTLAND MEDICAL CENTRE,SE25 4QB,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3931755,-0.0670746
H83004,H83004,FARLEY ROAD MEDICAL PRACTICE,CR2 7NG,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3457999,-0.0665
H83005,H83005,UPPER NORWOOD GROUP PRACTICE,SE19 2NT,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.41331,-0.08482
H83006,H83006,NEW ADDINGTON GROUP PRACTICE,CR0 0JA,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3440606,-0.0181636
H83007,H83007,VIOLET LANE MEDICAL PRACTICE,CR0 4HN,U09071,GPNET5 PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.36037,-0.10797
H83008,H83008,NORTHWAY ROAD SURGERY,CR0 6JJ,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.38656,-0.0792699
H83009,H83009,NORBURY MEDICAL PRACTICE,SW16 4NL,U85744,PRIMARY CARE NORTH CROYDON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.40451,-0.12271
H83010,H83010,SOUTH NORWOOD HILL MEDICAL CENTRE,SE25 6BY,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.40317,-0.08077
H83011,H83011,NORTH CROYDON MEDICAL CENTRE,CR7 7HQ,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3879398,-0.1109796
H83012,H83012,ST JAMES MEDICAL CENTRE,CR0 2BZ,U92836,CROYDON LINK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3818015,-0.0929671
H83013,H83013,OLD COULSDON MEDICAL PRACTICE,CR5 1HF,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3067798,-0.1183835
H83014,H83014,QUEENHILL MEDICAL PRACTICE,CR2 8DU,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3453567,-0.0657642
H83015,H83015,PARKSIDE GROUP PRACTICE,CR2 6EX,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3507007,-0.0979964
H83016,H83016,KESTON MEDICAL PRACTICE,CR8 2YL,U44012,KESTON MOORINGS & PARKSIDE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3404563,-0.1146336
H83017,H83017,BRIGSTOCK MEDICAL PRACTICE,CR7 7JN,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.395139,-0.1088382
H83018,H83018,SELSDON PARK MEDICAL PRACTICE,CR2 8LG,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.34241,-0.06457
H83019,H83019,FRIENDS ROAD MEDICAL PRACTICE,CR0 1ED,U09071,GPNET5 PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.371199,-0.0948307
H83020,H83020,EVERSLEY MEDICAL CENTRE,CR7 6AR,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3885099,-0.11191
H83021,H83021,LONDON ROAD MEDICAL PRACTICE,CR7 6AR,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3885099,-0.11191
H83022,H83022,THORNTON HEATH MEDICAL CENTRE,CR7 8RL,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.39775,-0.09609
H83023,H83023,MORLAND ROAD SURGERY,CR0 6HA,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3815051,-0.084165
H83024,H83024,WOODCOTE MEDICAL,CR8 3EE,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3412115,-0.1242155
H83028,H83028,ADDINGTON MEDICAL PRACTICE,CR0 0JA,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3440606,-0.0181636
H83029,H83029,HARTLAND WAY SURGERY,CR0 8RG,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.37437,-0.04578
H83030,H83030,BROOM ROAD MEDICAL PRACTICE,CR0 8NG,U52199,SELSDON ADDINGTON & SHIRLEY PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3697029,-0.0302148
H83031,H83031,HALING PARK MEDICAL PRACTICE,CR2 6AD,U09071,GPNET5 PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.35708,-0.09811
H83033,H83033,ASHBURTON PARK MEDICAL CENTRE,CR0 7AG,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3835412,-0.0648266
H83034,H83034,WHITEHORSE PRACTICE,CR0 2JJ,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3863318,-0.0971602
H83037,H83037,AUCKLAND SURGERY,SE19 2DF,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.409534,-0.0808947
H83039,H83039,STOVELL HOUSE SURGERY,CR0 6AH,U09071,GPNET5 PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3789,-0.07538
H83042,H83042,LEANDER FAMILY PRACTICE,CR7 6JE,U85744,PRIMARY CARE NORTH CROYDON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.39913,-0.1173
H83043,H83043,SHIRLEY MEDICAL CENTRE,CR0 8BH,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3754187,-0.0437597
H83044,H83044,EAST CROYDON MEDICAL CENTRE,CR0 6SD,U92836,CROYDON LINK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3753011,-0.0873518
H83049,H83049,HEADLEY DRIVE SURGERY,CR0 0QL,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3532322,-0.0157344
H83051,H83051,THORNTON ROAD & VALLEY PARK SURGERY,CR0 4YD,U30526,MAYDAY SOUTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3819332,-0.1273343
H83052,H83052,BRAMLEY AVENUE SURGERY,CR5 2DR,U38734,SELSDON PURLEY & COULSDON HEALTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.323263,-0.141516
H83053,H83053,PARCHMORE MEDICAL CENTRE,CR7 8LY,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4020995,-0.1008191
H83608,H83608,YOUR FAMILY PRACTICE,CR7 7JH,U85744,PRIMARY CARE NORTH CROYDON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3975924,-0.1023324
H83609,H83609,MERSHAM MEDICAL CENTRE,CR7 8JN,U33024,ONE THORNTON HEATH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4045158,-0.0969204
H83611,H83611,SELHURST MEDICAL CENTRE,SE25 5QA,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.39007,-0.08895
H83624,H83624,FAIRVIEW MEDICAL CENTRE,SW16 5PX,U85744,PRIMARY CARE NORTH CROYDON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4119167,-0.1250671
H83627,H83627,BIRDHURST MEDICAL PRACTICE,CR2 7DX,U09071,GPNET5 PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.36521,-0.0926199
H83631,H83631,GREENSIDE GROUP PRACTICE,CR0 2UL,U74798,CROYDON GP SUPER NETWORK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.38075,-0.1031799
H84002,H84002,PARK ROAD SURGERY,TW11 0AU,U84150,HAMPTON PCN,36L,QWE,NHS South West London Integrated Care Board,Unknown,51.4238433,-0.3345812
H84006,H84006,RICHMOND MEDICAL GROUP,SW14 8LP,U32828,SHEEN & BARNES PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4657575,-0.2673272
H84007,H84007,ACORN GROUP PRACTICE,TW1 4EA,U49896,TEDDINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4469806,-0.3290637
H84010,H84010,CANBURY MEDICAL CENTRE,KT2 6HR,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4142103,-0.2970713
H84012,H84012,YORK MEDICAL PRACTICE,TW1 3PA,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4491084,-0.3254407
H84015,H84015,BRUNSWICK SURGERY,KT6 6EZ,U72231,SURBITON HEALTH CENTRE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3907904,-0.2996612
H84016,H84016,GROVES MEDICAL CENTRE,KT3 3TX,U88126,NEW MALDEN & WORCESTER PARK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4104383,-0.2614091
H84018,H84018,BROAD LANE SURGERY,TW12 3AX,U84150,HAMPTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.42287,-0.36815
H84020,H84020,FAIRHILL MEDICAL PRACTICE,KT2 7PX,U52814,KINGSTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4167113,-0.2832066
H84023,H84023,ESSEX HOUSE SURGERY,SW13 0LW,U32828,SHEEN & BARNES PCN,36L,QWE,NHS South West London Integrated Care Board,Unknown,51.4726274,-0.2475092
H84025,H84025,HOOK SURGERY,KT9 2GY,U19424,CHESSINGTON AND SURBITON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3587717,-0.3119592
H84027,H84027,CHURCHILL MEDICAL CENTRE,KT2 6PG,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.41339,-0.28821
H84030,H84030,CENTRAL SURGERY,KT6 6EZ,U72231,SURBITON HEALTH CENTRE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3907904,-0.2996612
H84031,H84031,JUBILEE SURGERY,TW2 6JL,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4452339,-0.3614399
H84032,H84032,HAMPTON WICK SURGERY,KT1 4DY,U49896,TEDDINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.41559,-0.31308
H84033,H84033,ST ALBANS MEDICAL CENTRE,KT2 5HF,U52814,KINGSTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.42195,-0.30248
H84034,H84034,ORCHARD PRACTICE,KT9 1AG,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3689803,-0.3037371
H84039,H84039,CROSS DEEP SURGERY,TW1 4QP,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4450717,-0.3301398
H84040,H84040,HAMPTON MEDICAL CENTRE,TW12 2PB,U84150,HAMPTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.41841,-0.37266
H84042,H84042,HOLMWOOD CORNER SURGERY,KT3 6DR,U88126,NEW MALDEN & WORCESTER PARK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3974422,-0.2550043
H84044,H84044,THE GREEN & FIR ROAD,TW2 5TU,U49896,TEDDINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4433151,-0.3412402
H84048,H84048,TWICKENHAM PARK SURGERY,TW1 2AR,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4551023,-0.3137953
H84050,H84050,CHESSINGTON PARK SURGERY,KT9 2GY,U19424,CHESSINGTON AND SURBITON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3587717,-0.3119592
H84051,H84051,ROSELAWN SURGERY,KT3 6AA,U88126,NEW MALDEN & WORCESTER PARK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3973805,-0.2556158
H84053,H84053,BERRYLANDS SURGERY,KT6 6EZ,U37262,CANBURY CHURCHILL ORCHARD BERRYLANDS PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3907904,-0.2996612
H84054,H84054,RED LION ROAD SURGERY,KT6 7QG,U19424,CHESSINGTON AND SURBITON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3818116,-0.2900241
H84055,H84055,SHEEN LANE SURGERY,SW14 8LP,U32828,SHEEN & BARNES PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4657575,-0.2673272
H84057,H84057,STAINES ROAD MEDICAL CENTRE,TW2 5AU,U84150,HAMPTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4397133,-0.3579382
H84059,H84059,THAMESIDE MEDICAL PRACTICE,TW11 8HU,U49896,TEDDINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4274499,-0.3264749
H84060,H84060,RICHMOND LOCK SURGERY,TW1 1PS,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4645013,-0.3228825
H84061,H84061,KINGSTON HEALTH CENTRE,KT2 5AD,U52814,KINGSTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4141225,-0.3049125
H84062,H84062,LANGLEY MEDICAL PRACTICE,KT6 6EZ,U72231,SURBITON HEALTH CENTRE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3907904,-0.2996612
H84618,H84618,SUNRAY SURGERY,KT5 9QD,U19424,CHESSINGTON AND SURBITON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3826272,-0.2748147
H84619,H84619,CLAREMONT MEDICAL CENTRE,KT6 6BS,U19424,CHESSINGTON AND SURBITON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3907925,-0.3061943
H84623,H84623,HAMPTON HILL MEDICAL CENTRE,TW12 1NY,U49896,TEDDINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4272145,-0.3552751
H84625,H84625,WOODLAWN MEDICAL CENTRE,TW2 6EE,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4444471,-0.3666754
H84630,H84630,CRANE PARK SURGERY,TW2 6JL,U96434,EAST TWICKENHAM PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4452339,-0.3614399
H84635,H84635,MANOR DRIVE MEDICAL CENTRE,KT4 7LG,U88126,NEW MALDEN & WORCESTER PARK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3808949,-0.2485663
H85001,H85001,WANDSWORTH MEDICAL CENTRE,SW18 4DD,U61963,WANDLE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4536675,-0.1921071
H85002,H85002,FALCON ROAD MEDICAL CENTRE,SW11 2PH,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4689619,-0.1708847
H85003,H85003,QUEENSTOWN ROAD MEDICAL PRACTICE,SW8 3RX,U42154,BATTERSEA PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.467089,-0.1503633
H85006,H85006,MAYFIELD SURGERY,SW15 4AA,U97650,PRIME WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.448865,-0.2374188
H85007,H85007,SOUTHFIELDS GROUP PRACTICE,SW18 5AE,U61963,WANDLE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4413012,-0.1974345
H85008,H85008,ROEHAMPTON SURGERY,SW15 4HN,U45842,WEST WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4511353,-0.2424688
H85009,H85009,BEDFORD HILL FAMILY PRACTICE,SW12 9HS,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4407927,-0.1490615
H85011,H85011,GREYSWOOD PRACTICE,SW16 6PX,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.41946,-0.1448
H85012,H85012,PUTNEYMEAD GROUP MEDICAL PRACTICE,SW15 6TQ,U45842,WEST WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4616838,-0.2200714
H85018,H85018,MULGRAVE ROAD SURGERY,SM2 6LX,U07607,CENTRAL SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3583276,-0.1964573
H85020,H85020,NELSON MEDICAL PRACTICE,SW20 8DA,U44050,SOUTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4101066,-0.2106288
H85022,H85022,PARK ROAD MEDICAL CENTRE,SM6 8AW,U66620,WALLINGTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3634531,-0.1509251
H85024,H85024,MITCHAM & TOOTING HEALTH,CR4 3PR,U77811,NORTH MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4073969,-0.1817992
H85026,H85026,FRANCIS GROVE SURGERY,SW19 4DL,U00070,WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4197874,-0.2090529
H85027,H85027,WIMBLEDON VILLAGE SURGERY,SW19 5BY,U52546,NORTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4251717,-0.2191425
H85028,H85028,WIMBLEDON MEDICAL PRACTICE,SW19 1NX,U52546,NORTH WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.417552,-0.198578
H85030,H85030,OLD COURT HOUSE SURGERY,SM1 4AF,U07607,CENTRAL SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3654789,-0.192301
H85031,H85031,BENHILL & BELMONT GP CENTRE,SM1 4EB,U92151,CHEAM AND SOUTH SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3666331,-0.1902786
H85033,H85033,TAMWORTH HOUSE MEDICAL CENTRE,CR4 1DL,U45943,EAST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4014855,-0.145743
H85038,H85038,CRICKET GREEN MEDICAL PRACTICE,CR4 3DA,U45943,EAST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4046551,-0.1735463
H85041,H85041,EARLSFIELD SURGERY,SW18 4HH,U61963,WANDLE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4386629,-0.187374
H85045,H85045,BRIDGE LANE GROUP PRACTICE,SW11 3AD,U42154,BATTERSEA PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4739164,-0.1671052
H85047,H85047,CHATFIELD HEALTH CARE,SW11 3UJ,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.46586,-0.1821299
H85048,H85048,BROCKLEBANK GROUP PRACTICE,SW18 4DU,U71206,BROCKLEBANK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.448429,-0.1890883
H85049,H85049,BATTERSEA RISE GROUP PRACTICE,SW11 1HG,U42154,BATTERSEA PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4608229,-0.1634237
H85051,H85051,LAMBTON ROAD MEDICAL PRACTICE,SW20 0LW,U00070,WEST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4115397,-0.2311573
H85052,H85052,STREATHAM PARK SURGERY,SW16 6LY,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.42445,-0.14111
H85055,H85055,WEST BARNES SURGERY,KT3 6JD,U88126,NEW MALDEN & WORCESTER PARK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.397704,-0.2336121
H85057,H85057,ELBOROUGH STREET SURGERY,SW18 5DS,U61963,WANDLE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4409532,-0.2007985
H85061,H85061,HEATHBRIDGE PRACTICE,SW15 2TL,U97650,PRIME WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4601671,-0.2150491
H85063,H85063,CHEAM GP CENTRE,SM3 8EP,U92151,CHEAM AND SOUTH SUTTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.3688729,-0.2254399
H85065,H85065,ALTON PRACTICE,SW15 4LE,U45842,WEST WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4493514,-0.240187
H85066,H85066,BALHAM PARK SURGERY,SW17 7AW,U02454,NIGHTINGALE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4405526,-0.1556927
H85067,H85067,DANEBURY AVENUE SURGERY,SW15 4DU,U45842,WEST WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4523627,-0.2486367
H85069,H85069,LAVENDER HILL GROUP PRACTICE,SW11 5TU,U42154,BATTERSEA PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4659973,-0.1572263
H85075,H85075,HAIDER PRACTICE,SW11 1SW,U71206,BROCKLEBANK PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4599324,-0.1793601
H85077,H85077,BOLINGBROKE MEDICAL CENTRE,SW11 6BF,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4563012,-0.1680121
H85078,H85078,MITCHAM FAMILY PRACTICE,CR4 3HS,U77811,NORTH MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4112206,-0.1675791
H85082,H85082,TRIANGLE SURGERY,SW18 4HX,U61963,WANDLE PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4563859,-0.1982547
H85087,H85087,OPEN DOOR SURGERY,SW12 8EU,U42598,"BALHAM, TOOTING & FURZEDOWN PCN",36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4429886,-0.1556351
H85088,H85088,CLAPHAM JUNCTION MEDICAL PRACTICE,SW11 2EJ,U73458,WANDSWORTH PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.46596,-0.17392
H85090,H85090,FIGGES MARSH SURGERY,CR4 3LD,U45943,EAST MERTON PCN,36L,QWE,NHS South West London Integrated Care Board,EMIS,51.4104637,-0.1619902
