practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G83628,G83628,NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,SE9 3PT,U39263,ELTHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4345554,0.0741111
G83630,G83630,RIVERSIDE SURGERY,DA8 1RQ,U67110,NORTH BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4796655,0.1806988
G83631,G83631,ABBEYSLADE PMS (DR CHAND),SE2 0ER,U24992,HERITAGE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4876737,0.1074671
G83633,G83633,CONWAY PMS,SE18 1AH,U11690,RIVERVIEW HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4872614,0.086383
G83635,G83635,WAVERLEY PMS,SE18 7QU,U24992,HERITAGE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4824579,0.0831221
G83641,G83641,PLUMBRIDGE MEDICAL CENTRE,SE10 8PA,U46593,GREENWICH WEST PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47321,-0.01399
G83642,G83642,CRAYFORD TOWN SURGERY,DA1 4ER,U67110,NORTH BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.45012,0.1812
G83647,G83647,PLUMSTEAD AND WICKHAM LANE SURGERY,SE18 1SE,U24992,HERITAGE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.487441,0.0928497
G83651,G83651,WOODLANDS SURGERY,SE10 9UB,U46593,GREENWICH WEST PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4847944,0.0046615
G83654,G83654,BANNOCKBURN SURGERY,SE18 1ES,U24992,HERITAGE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4884484,0.0945717
G83673,G83673,ELMSTEAD MEDICAL CLINIC,SE9 3JD,U39263,ELTHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4321325,0.0590876
G83680,G83680,ELTHAM MEDICAL PRACTICE,SE9 5DQ,U39263,ELTHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4501135,0.0539456
G84003,G84003,LINKS MEDICAL PRACTICE,BR1 4PX,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4199018,0.0147575
G84004,G84004,STOCK HILL SURGERY,TN16 3TJ,U77447,FIVE ELMS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.31207,0.03181
G84006,G84006,SUMMERCROFT SURGERY,BR6 7AR,U77447,FIVE ELMS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3676734,0.0593949
G84008,G84008,MANOR ROAD SURGERY,BR3 5LE,U36188,BECKENHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4073154,-0.0244722
G84009,G84009,FAMILY SURGERY,BR6 6BG,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3546993,0.0899829
G84010,G84010,THE CHISLEHURST PARTNERSHIP,BR7 5AQ,U03551,"MOTTINGHAM, DOWNHAM & CHISLEHURST PCN",72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4192575,0.0670161
G84011,G84011,EDEN PARK SURGERY,BR3 4DQ,U36188,BECKENHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3992865,-0.0413247
G84015,G84015,STATION ROAD SURGERY,BR4 0PU,U98580,HAYES WICK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3767803,-0.0148908
G84017,G84017,ADDINGTON ROAD SURGERY,BR4 9BG,U98580,HAYES WICK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3690799,-0.0039699
G84018,G84018,CORNERWAYS SURGERY,BR3 5LG,U36188,BECKENHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4070834,-0.0202668
G84020,G84020,CHELSFIELD SURGERY,BR6 6HD,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3557871,0.1032926
G84023,G84023,SOUTHBOROUGH LANE SURGERY,BR2 9GT,U77447,FIVE ELMS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.386853,0.0383106
G84024,G84024,BROMLEY COMMON PRACTICE,BR2 9GT,U77447,FIVE ELMS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.386853,0.0383106
G84027,G84027,ELM HOUSE SURGERY,BR3 3FD,U36188,BECKENHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4049547,-0.0330561
G84028,G84028,ST JAMES' PRACTICE,BR3 4DG,U36188,BECKENHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3991973,-0.0436288
G84030,G84030,FORGE CLOSE SURGERY,BR2 7LL,U98580,HAYES WICK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3771474,0.0166243
G84032,G84032,KNOLL MEDICAL PRACTICE,BR6 0FE,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3756992,0.101183
G84033,G84033,PICKHURST SURGERY,BR2 7JF,U98580,HAYES WICK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3780987,0.0105741
G84035,G84035,TUDOR WAY SURGERY,BR5 1LH,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3894083,0.0791723
G84039,G84039,NORHEADS LANE SURGERY,TN16 3XS,U77447,FIVE ELMS PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.31454,0.02674
G84040,G84040,BALLATER SURGERY,BR6 0DP,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.382202,0.0950126
G84607,G84607,WICKHAM PARK SURGERY,BR4 9PS,U98580,HAYES WICK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3762783,-0.0233832
G84609,G84609,BANK HOUSE SURGERY,BR6 7BA,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3592763,0.0690572
G84621,G84621,WHITEHOUSE SURGERY,BR5 1EL,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3824377,0.0779955
G84627,G84627,GREEN STREET GREEN MED CT,BR6 6BG,U87524,ORPINGTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.3546993,0.0899829
G85001,G85001,FOREST HILL GROUP PRACTICE,SE22 0SQ,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.45362,-0.06154
G85002,G85002,STREATHAM HIGH PRACTICE,SW16 2ST,U18315,AT MEDICS STREATHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4325162,-0.1279028
G85006,G85006,THE ACORN & GAUMONT HOUSE SURGERY,SE15 5SL,U60094,SOUTH SOUTHWARK PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4741583,-0.0666568
G85011,G85011,CLAPHAM FAMILY PRACTICE,SW4 7DB,U45098,CLAPHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4629946,-0.1329797
