"ACH_DATE","ORG_TYPE","ORG_CODE","ONS_CODE","AREA_NAME","DEMENTIA_REGISTER_65_PLUS","DEMENTIA_ESTIMATE_65_PLUS","DIAG_RATE_65_PLUS","DIAG_RATE_65_PLUS_LL","DIAG_RATE_65_PLUS_UL","PAT_LIST_65_PLUS","Prevalence_65_PLUS_percent","Prevalence_65_PLUS_percent_LCI","Prevalence_65_PLUS_percent_UCI","ASS_Received_GP_Mem_Clinic","ASS_Received_GP","MemoryClinicPercent","MemoryClinicPercent_LCI","MemoryClinicPercent_UCI","DEM_REGISTER_WITH_ANTIPSYMEDS_ALL_AGES","DEMENTIA_REGISTER_ALL_AGES","AP_Percent","AP_Percent_LCI","AP_Percent_UCI","DIAG_Received_Care_Plan","CarePlansPercent","CarePlansPercent_LCI","CarePlansPercent_UCI"
2023-04-30,"ICB","QJK","E54000037","NHS DEVON INTEGRATED CARE BOARD",11232,20341,55.2,49.7,59.9,308633,3.6,3.6,3.7,44,505,8.7,6.6,11.5,1021,11506,8.9,8.4,9.4,7555,65.7,64.8,66.5
2023-04-30,"ICB","QJM","E54000013","NHS LINCOLNSHIRE INTEGRATED CARE BOARD",7521,12066.4,62.3,55.9,67.8,190106,4,3.9,4,63,544,11.6,9.2,14.5,723,7904,9.1,8.5,9.8,5216,66,64.9,67
2023-04-30,"ICB","QK1","E54000015","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",8400,13086.8,64.2,57.7,69.7,208091,4,4,4.1,16,580,2.8,1.7,4.4,895,8863,10.1,9.5,10.7,6240,70.4,69.4,71.3
2023-05-31,"COUNTRY","ENG","E92000001","ENGLAND",445216,705655,63.1,56.9,68.4,11011303,4,4,4.1,4666,45664,10.2,9.9,10.5,41267,461340,8.9,8.9,9,312078,67.6,67.5,67.8
2023-05-31,"ICB","QE1","E54000048","NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD",15708,22975.4,68.4,61.5,74.2,366539,4.3,4.2,4.4,122,1535,7.9,6.7,9.4,1208,16255,7.4,7,7.8,11113,68.4,67.6,69.1
2023-05-31,"ICB","QF7","E54000061","NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD",11586,15995.8,72.4,65.1,78.7,255530,4.5,4.5,4.6,152,1405,10.8,9.3,12.6,927,12122,7.6,7.2,8.1,8283,68.3,67.5,69.2
2023-05-31,"ICB","QGH","E54000019","NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD",6565,12469.4,52.6,47.3,57.2,192861,3.4,3.3,3.5,30,619,4.8,3.4,6.8,745,6748,11,10.3,11.8,4792,71,69.9,72.1
2023-05-31,"ICB","QH8","E54000026","NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD",9791,15696.4,62.4,56.1,67.7,239522,4.1,4,4.2,122,907,13.5,11.4,15.8,953,10148,9.4,8.8,10,6893,67.9,67,68.8
2023-05-31,"ICB","QHG","E54000024","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",6676,10076.1,66.3,59.4,72,163371,4.1,4,4.2,95,853,11.1,9.2,13.4,657,6982,9.4,8.7,10.1,4618,66.1,65,67.2
2023-05-31,"ICB","QHL","E54000055","NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD",8427,14254.4,59.1,53.2,64.2,217797,3.9,3.8,4,85,932,9.1,7.4,11.1,948,8770,10.8,10.2,11.5,6190,70.6,69.6,71.5
2023-05-31,"ICB","QHM","E54000050","NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD",26842,39748.1,67.5,60.7,73.3,644296,4.2,4.1,4.2,354,2937,12.1,10.9,13.3,2056,27896,7.4,7.1,7.7,19174,68.7,68.2,69.3
2023-05-31,"ICB","QJ2","E54000058","NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD",9579,14419.4,66.4,59.7,72.2,229504,4.2,4.1,4.3,142,620,22.9,19.8,26.4,984,10283,9.6,9,10.2,6643,64.6,63.7,65.5
2023-05-31,"ICB","QJG","E54000023","NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD",9321,15736.5,59.2,53.3,64.3,239205,3.9,3.8,4,226,861,26.2,23.4,29.3,1142,9609,11.9,11.3,12.5,6738,70.1,69.2,71
2023-05-31,"ICB","QJK","E54000037","NHS DEVON INTEGRATED CARE BOARD",11353,20399.6,55.7,50.1,60.4,309236,3.7,3.6,3.7,139,971,14.3,12.3,16.7,1031,11630,8.9,8.4,9.4,7316,62.9,62,63.8
2023-05-31,"ICB","QJM","E54000013","NHS LINCOLNSHIRE INTEGRATED CARE BOARD",7563,12106.5,62.5,56.1,67.9,190487,4,3.9,4.1,138,1090,12.7,10.8,14.8,705,7930,8.9,8.3,9.5,5045,63.6,62.6,64.7
2023-05-31,"ICB","QK1","E54000015","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",8250,13137.5,62.8,56.5,68.2,208615,4,3.9,4,47,1087,4.3,3.3,5.7,847,8695,9.7,9.1,10.4,5865,67.5,66.5,68.4
2023-05-31,"ICB","QKK","E54000030","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",10202,14927.5,68.3,61.3,74.2,239837,4.3,4.2,4.3,111,1098,10.1,8.5,12,875,10588,8.3,7.8,8.8,7474,70.6,69.7,71.4
2023-05-31,"ICB","QKS","E54000032","NHS KENT AND MEDWAY INTEGRATED CARE BOARD",14490,24815.6,58.4,52.6,63.4,385362,3.8,3.7,3.8,85,930,9.1,7.5,11.2,1270,14985,8.5,8,8.9,10152,67.7,67,68.5
2023-05-31,"ICB","QM7","E54000025","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD",11565,18393.9,62.9,56.6,68.3,273260,4.2,4.2,4.3,93,1007,9.2,7.6,11.2,1100,11895,9.2,8.7,9.8,8016,67.4,66.5,68.2
2023-05-31,"ICB","QNQ","E54000034","NHS FRIMLEY INTEGRATED CARE BOARD",5705,8615.8,66.2,59.4,72,131918,4.3,4.2,4.4,48,409,11.7,9,15.2,481,5839,8.2,7.6,9,4043,69.2,68,70.4
